utcTimeMillis,ax,ay,az,gx,gy,gz
1593045274447,-2692784.4282203177,-4297241.981128213,3855235.5243497463,-2692779.880259665,-4297235.4810697725,3855229.667871809
1593045275447,-2692784.54440179,-4297241.9931713715,3855235.3512703734,-2692779.8927611667,-4297235.473775829,3855229.6460033734
1593045276447,-2692784.7029917045,-4297242.261663176,3855235.155093293,-2692779.8689886727,-4297235.482584406,3855229.6582234846
1593045277447,-2692784.707929298,-4297242.42507144,3855235.0336058713,-2692779.8844429418,-4297235.483553316,3855229.659281818
1593045278447,-2692784.7125659785,-4297242.226241543,3855235.048510567,-2692779.877831106,-4297235.477387764,3855229.6510097627
1593045279447,-2692784.658768369,-4297242.27538408,3855234.9441471747,-2692779.8836648664,-4297235.479844937,3855229.6600183947
1593045280447,-2692784.799307861,-4297242.1943370495,3855234.86480802,-2692779.8864098326,-4297235.479463508,3855229.6455428726
1593045281447,-2692785.3381878138,-4297241.909348494,3855234.8780752337,-2692779.897761958,-4297235.493276749,3855229.621870381
1593045282447,-2692786.019672981,-4297241.227635439,3855234.9671497643,-2692779.921263071,-4297235.524430787,3855229.569985904
1593045283447,-2692785.978287698,-4297241.360952756,3855235.0189877986,-2692779.909565142,-4297235.531370636,3855229.612127256
1593045284447,-2692785.6077940064,-4297241.566133116,3855234.87334113,-2692779.91968513,-4297235.515818434,3855229.6212090463
1593045285447,-2692784.9768664995,-4297242.322830005,3855234.807751614,-2692779.886966852,-4297235.483482804,3855229.6343376515
1593045286447,-2692784.8290148787,-4297242.6180225285,3855234.2916619936,-2692779.885358885,-4297235.48345535,3855229.667075595
1593045287447,-2692783.783996895,-4297243.139638041,3855234.3459834633,-2692779.8689929335,-4297235.439136398,3855229.7129939157
1593045288447,-2692783.680283019,-4297243.554084983,3855234.231193452,-2692779.841140708,-4297235.424471697,3855229.7282549087
1593045289447,-2692784.04564248,-4297243.622501543,3855233.739559684,-2692779.8578827768,-4297235.430924764,3855229.710460928
1593045290447,-2692784.6918305247,-4297243.660609223,3855233.153152628,-2692779.86806735,-4297235.449832416,3855229.686311682
1593045291447,-2692785.0648456663,-4297243.647115031,3855232.9108667416,-2692779.87871237,-4297235.4687779965,3855229.674881345
1593045292447,-2692784.67939417,-4297243.175831615,3855233.6772838663,-2692779.8780401256,-4297235.49011565,3855229.6876733815
1593045293447,-2692785.23195773,-4297242.026472471,3855234.671241515,-2692779.9277198846,-4297235.518724019,3855229.587150723
1593045294447,-2692786.3102434566,-4297241.036404927,3855235.2157002985,-2692779.941005072,-4297235.665890112,3855229.4234185196
1593045295447,-2692786.3793380996,-4297240.932228351,3855235.4047571686,-2692780.0445705163,-4297235.662833221,3855229.379951899
1593045296447,-2692786.523595958,-4297240.138118403,3855235.5388470897,-2692780.024870889,-4297235.632258635,3855229.3705159505
1593045297447,-2692786.309957564,-4297240.067327623,3855236.105076534,-2692779.9933351213,-4297235.617799388,3855229.456623569
1593045298447,-2692785.877804765,-4297240.375594722,3855236.206993739,-2692779.9340512375,-4297235.562858294,3855229.5436248016
1593045299447,-2692784.923722051,-4297240.9200507095,3855236.3629747243,-2692779.90304106,-4297235.50675087,3855229.618582786
1593045300447,-2692784.8145092847,-4297241.038713232,3855236.050904079,-2692779.9083209215,-4297235.490520747,3855229.63209215
1593045301447,-2692785.034883851,-4297241.61324739,3855235.7790871416,-2692779.886713278,-4297235.504039542,3855229.6447852785
1593045302447,-2692784.9979551593,-4297241.572123902,3855235.468931166,-2692779.89474001,-4297235.491191916,3855229.637389023
1593045303447,-2692784.4619838,-4297241.8443787405,3855235.6124882186,-2692779.8861014647,-4297235.487776299,3855229.6662411015
1593045304447,-2692784.0832348284,-4297241.856413751,3855235.908502069,-2692779.875659484,-4297235.4641826255,3855229.672365294
1593045305447,-2692784.1348690423,-4297241.863787542,3855235.862110482,-2692779.8738489794,-4297235.46420366,3855229.674485586
1593045306447,-2692784.1431408403,-4297242.158199863,3855235.731967731,-2692779.8667447465,-4297235.460779771,3855229.675137504
1593045307447,-2692784.1868769014,-4297242.053353783,3855235.4981434774,-2692779.8826862415,-4297235.454385003,3855229.6747284164
1593045308447,-2692784.2900411063,-4297242.08758523,3855235.415375269,-2692779.864256274,-4297235.468550279,3855229.674750026
1593045309447,-2692784.3972148295,-4297242.037590453,3855235.4710814054,-2692779.886289056,-4297235.464885385,3855229.6653769477
1593045310447,-2692784.335761128,-4297241.972862872,3855235.491367171,-2692779.867531722,-4297235.468871614,3855229.6807421213
1593045311447,-2692784.401297304,-4297242.211986357,3855235.357902957,-2692779.8707712647,-4297235.464030804,3855229.674533198
1593045312447,-2692784.5836971025,-4297242.4284968125,3855234.802781522,-2692779.884058852,-4297235.4770003855,3855229.679453939
1593045313447,-2692784.9986779275,-4297242.9474241445,3855234.034485559,-2692779.887338747,-4297235.490198786,3855229.6516399626
1593045314447,-2692785.275466767,-4297243.160242918,3855233.018114515,-2692779.897110468,-4297235.471402881,3855229.640370363
1593045315447,-2692785.2479847227,-4297243.487269452,3855232.9516989593,-2692779.886150133,-4297235.485359615,3855229.6579481326
1593045316447,-2692785.2193129133,-4297243.599278565,3855232.825392314,-2692779.881855392,-4297235.478306806,3855229.653071106
1593045317447,-2692785.27444082,-4297243.448700201,3855232.9386829403,-2692779.881123547,-4297235.484022759,3855229.654189133
1593045318447,-2692785.053233961,-4297243.021335978,3855233.570704628,-2692779.89515426,-4297235.479370172,3855229.6472719642
1593045319447,-2692785.0941972747,-4297243.267414601,3855233.2920503295,-2692779.887029015,-4297235.483930442,3855229.647116033
1593045320447,-2692785.0104091293,-4297243.112028179,3855233.6290162676,-2692779.8775445786,-4297235.489214226,3855229.6543694413
1593045321447,-2692784.848345425,-4297242.673460705,3855234.2926489995,-2692779.8805355025,-4297235.480940299,3855229.65970111
1593045322447,-2692784.7952473084,-4297242.562174341,3855234.463066609,-2692779.8806292093,-4297235.478711633,3855229.658160697
1593045323447,-2692784.636806857,-4297242.1203979375,3855235.147537298,-2692779.8797861678,-4297235.479445825,3855229.657976198
1593045324447,-2692784.6319657154,-4297242.081010501,3855235.199093947,-2692779.8828584277,-4297235.477501626,3855229.6584853004
1593045325447,-2692784.625728569,-4297242.085854239,3855235.1990993633,-2692779.8826583293,-4297235.476872583,3855229.659050004
1593045326447,-2692784.6294516716,-4297242.085166202,3855235.19300984,-2692779.883249043,-4297235.478113922,3855229.658338485
1593045327447,-2692784.6306815646,-4297242.085352379,3855235.197288241,-2692779.882349272,-4297235.477739933,3855229.658695503
1593045328447,-2692784.5514323963,-4297241.867110698,3855235.5152758905,-2692779.881285698,-4297235.478586771,3855229.6580802426
1593045329447,-2692784.6833880334,-4297242.220033638,3855234.994404986,-2692779.8838312207,-4297235.476715075,3855229.657988433
1593045330447,-2692784.6407319093,-4297242.094317454,3855235.172723309,-2692779.8822027673,-4297235.478191944,3855229.6585962735
1593045331447,-2692784.6244612937,-4297242.047564638,3855235.2455620016,-2692779.8830084438,-4297235.47792354,3855229.658890155
1593045332447,-2692784.6231445824,-4297242.062340431,3855235.2243616246,-2692779.8821959426,-4297235.4780925615,3855229.658628898
1593045333447,-2692784.5251428764,-4297241.776984769,3855235.6645050994,-2692779.882012613,-4297235.478546644,3855229.658427291
1593045334447,-2692784.4373595696,-4297241.350868879,3855236.238660254,-2692779.8835620433,-4297235.485206029,3855229.6452436903
1593045335447,-2692784.236988464,-4297240.971071444,3855236.789366193,-2692779.8955635056,-4297235.482926886,3855229.6423301008
1593045336447,-2692784.2421458433,-4297241.020419984,3855236.9068101426,-2692779.875950508,-4297235.480398522,3855229.6614139057
1593045337447,-2692783.9189416524,-4297240.533228036,3855237.413155479,-2692779.883007499,-4297235.4613464875,3855229.677964717
1593045338447,-2692784.1384093515,-4297240.981865015,3855236.86707575,-2692779.8861953323,-4297235.478446453,3855229.6641744873
1593045339447,-2692784.5440067635,-4297241.142990737,3855236.356056323,-2692779.9025356015,-4297235.474269853,3855229.641376023
1593045340447,-2692784.6561535844,-4297241.455234955,3855236.104340513,-2692779.8682402684,-4297235.493568705,3855229.6552835526
1593045341447,-2692784.765775403,-4297241.531517859,3855235.7300190385,-2692779.8867709013,-4297235.477108438,3855229.637834712
1593045342447,-2692784.820517172,-4297241.684023454,3855235.4693925683,-2692779.8960118815,-4297235.485915543,3855229.645049659
1593045343447,-2692784.990903956,-4297242.016031621,3855235.0165176755,-2692779.885890249,-4297235.49272576,3855229.635286848
1593045344447,-2692784.7934281114,-4297242.377230924,3855234.716000178,-2692779.881774719,-4297235.470800096,3855229.686120533
1593045345447,-2692784.646149977,-4297242.462061411,3855234.5580116203,-2692779.8863888658,-4297235.468108681,3855229.6687357095
1593045346447,-2692784.7943894244,-4297242.792198491,3855234.223215431,-2692779.8754753266,-4297235.471504535,3855229.663965936
1593045347447,-2692784.859471942,-4297243.152941577,3855233.6889307126,-2692779.881580242,-4297235.470672254,3855229.673418121
1593045348447,-2692783.7922173347,-4297243.619074266,3855233.9540649666,-2692779.8534544413,-4297235.417586039,3855229.747654151
1593045349447,-2692782.896271343,-4297243.710608539,3855234.606463164,-2692779.7838394153,-4297235.351229798,3855229.8425653353
1593045350447,-2692781.367463473,-4297244.319409181,3855235.212639183,-2692779.7105359226,-4297235.252141289,3855230.0209535128
1593045351447,-2692781.1577711073,-4297243.95728162,3855235.656097526,-2692779.712417402,-4297235.220554746,3855230.0082375724
1593045352447,-2692782.4822807196,-4297242.5616232725,3855236.4659224404,-2692779.758023808,-4297235.30616635,3855229.8701334465
1593045353447,-2692784.111881234,-4297241.233568034,3855236.7206320604,-2692779.8644730086,-4297235.468376264,3855229.6870512315
1593045354447,-2692784.3198959953,-4297241.103995725,3855236.6718088076,-2692779.8877549586,-4297235.485802391,3855229.647670941
1593045355447,-2692784.182070386,-4297241.165520506,3855236.596608142,-2692779.8855371927,-4297235.480501091,3855229.65948253
1593045356447,-2692784.2979377434,-4297241.263635775,3855236.4926506244,-2692779.884724204,-4297235.480512284,3855229.6463146303
1593045357447,-2692784.4536672956,-4297241.529789953,3855236.0178818647,-2692779.88417253,-4297235.484758873,3855229.6644211477
1593045358447,-2692784.3067759355,-4297241.701074488,3855235.829547243,-2692779.892359328,-4297235.467117145,3855229.641743589
1593045359447,-2692784.687590039,-4297241.795438876,3855235.606852793,-2692779.887794831,-4297235.483255523,3855229.6534058596
1593045360447,-2692784.7120946157,-4297241.898629268,3855235.246342015,-2692779.8888805956,-4297235.4884781055,3855229.646546424
1593045361447,-2692784.7706625694,-4297241.80016377,3855235.455004472,-2692779.88894351,-4297235.488755489,3855229.645760774
1593045362447,-2692784.5983835002,-4297242.0552475,3855235.1666305526,-2692779.8963125465,-4297235.482026092,3855229.649886719
1593045363447,-2692784.804067709,-4297242.276423428,3855234.8451961093,-2692779.8798450395,-4297235.479174748,3855229.650132139
1593045364447,-2692784.603583588,-4297242.166541453,3855234.7628229433,-2692779.9031729833,-4297235.4920505965,3855229.6635952475
1593045365447,-2692784.1948599033,-4297242.7162387455,3855234.920710125,-2692779.868270965,-4297235.450992487,3855229.644026182
1593045366447,-2692784.297280882,-4297242.58469502,3855234.7820491004,-2692779.8858150155,-4297235.462180102,3855229.6853110376
1593045367447,-2692784.7177982014,-4297242.276664771,3855234.8028934407,-2692779.876684444,-4297235.4854633855,3855229.6560362433
1593045368447,-2692784.7934628124,-4297242.247491188,3855234.8063206007,-2692779.891423245,-4297235.480744278,3855229.6383223026
1593045369447,-2692784.7693087603,-4297242.271275526,3855234.800151984,-2692779.883487885,-4297235.479485074,3855229.663100607
1593045370447,-2692784.682418366,-4297242.400565589,3855234.866536712,-2692779.8815317587,-4297235.481081113,3855229.6571241263
1593045371447,-2692784.549664513,-4297242.380295919,3855234.8510278524,-2692779.8818226117,-4297235.473946069,3855229.6649188157
1593045372447,-2692784.945117617,-4297242.208988806,3855234.8215270303,-2692779.884571638,-4297235.478985689,3855229.642592509
1593045373447,-2692784.7342800386,-4297242.209352554,3855234.8699795497,-2692779.8857052852,-4297235.485379765,3855229.662713768
1593045374447,-2692784.478895092,-4297242.256808657,3855235.1172963595,-2692779.8812104864,-4297235.475430384,3855229.663173398
1593045375447,-2692784.4012990706,-4297242.473696025,3855234.9447905165,-2692779.877914841,-4297235.47029275,3855229.676371691
1593045376447,-2692784.2073464403,-4297242.633234729,3855234.9271184434,-2692779.868333758,-4297235.458166477,3855229.6760152024
1593045377447,-2692784.514822615,-4297242.478060574,3855234.8932459713,-2692779.866600463,-4297235.47111318,3855229.670020251
1593045378447,-2692784.291882888,-4297242.596944113,3855234.903083036,-2692779.8818559772,-4297235.469688491,3855229.680853973
1593045379447,-2692784.2955791284,-4297242.550413374,3855234.912609441,-2692779.873301483,-4297235.466719125,3855229.6744980086
1593045380447,-2692784.414900286,-4297242.078314262,3855235.403766197,-2692779.874640754,-4297235.47102442,3855229.6578236315
1593045381447,-2692784.322812914,-4297242.007835395,3855235.5656020525,-2692779.877036245,-4297235.470184841,3855229.665759913
1593045382447,-2692784.1990759494,-4297241.963478124,3855235.887478368,-2692779.8655403582,-4297235.468840701,3855229.688082046
1593045383447,-2692784.08937631,-4297242.0656193355,3855235.7369670924,-2692779.873534414,-4297235.464662861,3855229.6759365876
1593045384447,-2692784.244053229,-4297241.857666383,3855235.761355433,-2692779.8776121223,-4297235.472729877,3855229.666775411
1593045385447,-2692784.108245631,-4297241.941433445,3855235.8003860605,-2692779.8779689665,-4297235.469505272,3855229.6692669666
1593045386447,-2692784.0965731204,-4297242.110403378,3855235.5811614324,-2692779.871354249,-4297235.457583181,3855229.6849929728
1593045387447,-2692784.4236561907,-4297242.102968089,3855235.3633535937,-2692779.880003419,-4297235.465219094,3855229.6552395206
1593045388447,-2692784.5090610855,-4297242.222231601,3855235.456183848,-2692779.8697160394,-4297235.4775175825,3855229.6669044867
1593045389447,-2692784.3912976845,-4297242.307156243,3855235.4241020298,-2692779.868021007,-4297235.471107011,3855229.6670507044
1593045390447,-2692784.530080658,-4297242.402252568,3855235.4162710384,-2692779.8667015894,-4297235.482883526,3855229.678353064
1593045391447,-2692784.530239782,-4297242.279210904,3855235.0803597043,-2692779.8778824806,-4297235.472409148,3855229.6590183824
1593045392447,-2692783.9414623687,-4297242.38846527,3855235.3821593113,-2692779.874121906,-4297235.47026634,3855229.6971383383
1593045393447,-2692784.028159141,-4297242.151906057,3855235.2534006946,-2692779.881956296,-4297235.460664468,3855229.671829022
1593045394447,-2692784.323841835,-4297242.033828868,3855235.039546446,-2692779.890313606,-4297235.460235422,3855229.6588083114
1593045395447,-2692784.5114568397,-4297242.18991759,3855235.184381655,-2692779.8873445247,-4297235.475651171,3855229.6659647203
1593045396447,-2692784.4608451114,-4297241.970406828,3855235.089120398,-2692779.8856882467,-4297235.4676542925,3855229.665955893
1593045397447,-2692784.441197946,-4297241.931470411,3855235.359579844,-2692779.89828388,-4297235.47727416,3855229.64760977
1593045398447,-2692784.491010656,-4297241.959855566,3855235.149643248,-2692779.8811797556,-4297235.480712952,3855229.6675705346
1593045399447,-2692784.4937453726,-4297241.959106782,3855235.124062896,-2692779.9043817553,-4297235.473715067,3855229.6530939597
1593045400447,-2692784.450568651,-4297242.083282408,3855235.227393089,-2692779.882433166,-4297235.474212482,3855229.652366556
1593045401447,-2692784.4433554085,-4297242.030533761,3855235.1382959476,-2692779.8918941603,-4297235.476247136,3855229.663636615
1593045402447,-2692784.558723633,-4297242.146450056,3855235.168142574,-2692779.8836601633,-4297235.480678098,3855229.6567218215
1593045403447,-2692784.503292383,-4297242.480112012,3855235.044910852,-2692779.8763371445,-4297235.477193807,3855229.668327583
1593045404447,-2692784.924265911,-4297242.583773449,3855235.0390042556,-2692779.868786075,-4297235.48357062,3855229.649894402
1593045405447,-2692784.7255181004,-4297242.408250363,3855234.910084743,-2692779.882161085,-4297235.4895021,3855229.656742885
1593045406447,-2692784.785906216,-4297242.494112372,3855234.6448645834,-2692779.8802122567,-4297235.477813955,3855229.641222217
1593045407447,-2692784.8318935544,-4297242.684101722,3855234.3672089637,-2692779.88358115,-4297235.475546712,3855229.6561280712
1593045408447,-2692785.238103182,-4297242.502294073,3855234.0791479317,-2692779.8967254683,-4297235.493309546,3855229.6363148605
1593045409447,-2692785.9911026633,-4297242.311287433,3855233.7096533366,-2692779.9131874093,-4297235.512484203,3855229.5889065377
1593045410447,-2692786.143141162,-4297242.298550421,3855233.64802656,-2692779.918157831,-4297235.527738845,3855229.604687866
1593045411447,-2692785.621935611,-4297242.684798845,3855233.6031499994,-2692779.906077116,-4297235.5127905505,3855229.6113114012
1593045412447,-2692785.5749606243,-4297242.525882539,3855233.9044964435,-2692779.899799131,-4297235.513031388,3855229.6025036657
1593045413447,-2692785.7960038353,-4297241.800957903,3855234.6631242353,-2692779.9185161786,-4297235.539847774,3855229.5818031556
1593045414447,-2692785.3778075934,-4297242.147931783,3855234.486451607,-2692779.917813421,-4297235.530159216,3855229.6015318646
1593045415447,-2692784.3108288925,-4297243.114186671,3855234.2116905316,-2692779.87620501,-4297235.475528366,3855229.697622284
1593045416447,-2692782.5529783065,-4297243.975142165,3855234.670960592,-2692779.7858786383,-4297235.345994941,3855229.84330587
1593045417447,-2692781.9474290176,-4297243.94581824,3855235.1822154406,-2692779.7343464484,-4297235.270073561,3855229.9511367683
1593045418447,-2692781.878023353,-4297243.457523644,3855235.578957941,-2692779.734083408,-4297235.254709809,3855229.9914608663
1593045419447,-2692783.2336145123,-4297242.208065364,3855236.162644043,-2692779.8062584633,-4297235.3515771795,3855229.82304103
1593045420447,-2692784.462212702,-4297241.414303534,3855236.099652951,-2692779.885717594,-4297235.472595807,3855229.652375489
1593045421447,-2692784.676769399,-4297241.078564261,3855236.384756231,-2692779.8931682385,-4297235.506426152,3855229.622950815
1593045422447,-2692785.0743454606,-4297241.061650191,3855236.0670376644,-2692779.910937086,-4297235.509988137,3855229.59880278
1593045423447,-2692785.1040297463,-4297241.308621237,3855235.731792414,-2692779.9115920416,-4297235.510524512,3855229.606524674
1593045424447,-2692785.574243551,-4297241.064303707,3855235.5131102065,-2692779.9293268416,-4297235.527311404,3855229.584911566
1593045425447,-2692785.487587204,-4297241.290654127,3855235.3007399337,-2692779.919424998,-4297235.523384124,3855229.5873160344
1593045426447,-2692785.702767612,-4297241.591930043,3855234.9717649575,-2692779.917248911,-4297235.522096078,3855229.594871351
1593045427447,-2692785.701539168,-4297241.413031461,3855235.0606052107,-2692779.9138624324,-4297235.525079503,3855229.5832297234
1593045428447,-2692785.837379734,-4297241.2750028465,3855234.9738523113,-2692779.9299255433,-4297235.529340442,3855229.588546672
1593045429447,-2692785.6348208296,-4297241.809404883,3855234.8423249302,-2692779.9111192864,-4297235.516998713,3855229.5951617076
1593045430447,-2692785.243329841,-4297242.031903132,3855234.845371516,-2692779.887317551,-4297235.4975213315,3855229.6156319273
1593045431447,-2692784.877790665,-4297242.10802387,3855234.807797951,-2692779.895601813,-4297235.486134995,3855229.6600028947
1593045432447,-2692784.579007161,-4297242.159450727,3855235.307474292,-2692779.8730148803,-4297235.482616071,3855229.668567216
1593045433447,-2692784.305191104,-4297241.845174153,3855235.6590059805,-2692779.8808025983,-4297235.472345948,3855229.6757962396
1593045434447,-2692783.9580837167,-4297242.104248932,3855235.6953215385,-2692779.872258184,-4297235.460950401,3855229.6837978354
1593045435447,-2692784.0457955203,-4297242.206763801,3855235.4155717837,-2692779.8744571903,-4297235.453287616,3855229.682092454
1593045436447,-2692784.134810108,-4297242.570752893,3855235.0514121503,-2692779.875758618,-4297235.454285992,3855229.682828738
1593045437447,-2692784.09315585,-4297242.613666183,3855235.13302361,-2692779.860751009,-4297235.464930913,3855229.693684975
1593045438447,-2692784.1784531516,-4297242.535238083,3855235.0421319734,-2692779.867709624,-4297235.453719299,3855229.6854696707
1593045439447,-2692784.210626691,-4297242.522692857,3855235.167424157,-2692779.865545855,-4297235.468141542,3855229.6877602907
1593045440447,-2692784.047789105,-4297242.43890109,3855235.2586427676,-2692779.866914803,-4297235.458667415,3855229.6768026105
1593045441447,-2692784.008419416,-4297242.252106319,3855235.3862276096,-2692779.8730146554,-4297235.454790696,3855229.689725719
1593045442447,-2692783.8328080336,-4297242.441665152,3855235.1976238503,-2692779.8703698274,-4297235.444336767,3855229.693140396
1593045443447,-2692784.3294703234,-4297242.543381168,3855235.0017439974,-2692779.8688249527,-4297235.460117326,3855229.680390461
1593045444447,-2692784.4027379807,-4297242.458668071,3855234.7783465907,-2692779.8832877325,-4297235.475852767,3855229.657316764
1593045445447,-2692784.079263927,-4297242.662384874,3855235.035229844,-2692779.863683469,-4297235.45081728,3855229.699584275
1593045446447,-2692784.4563796083,-4297242.5362335825,3855234.999081368,-2692779.8624894097,-4297235.457744302,3855229.663499623
1593045447447,-2692784.7965349457,-4297242.588786484,3855234.505468552,-2692779.876841796,-4297235.470798161,3855229.674377328
1593045448447,-2692784.3707229313,-4297242.516833933,3855234.798640001,-2692779.875500654,-4297235.4631382665,3855229.6800922425
1593045449447,-2692784.29563375,-4297242.208041653,3855235.3763265335,-2692779.864498484,-4297235.465043184,3855229.68990729
1593045450447,-2692784.008029352,-4297242.0744806705,3855235.779089245,-2692779.864935292,-4297235.461061275,3855229.698559919
1593045451447,-2692783.811364775,-4297242.198661936,3855235.6232973128,-2692779.8674949207,-4297235.448100367,3855229.6947004255
1593045452447,-2692784.133414256,-4297242.046225179,3855235.5548448903,-2692779.87728829,-4297235.457341007,3855229.6739636487
1593045453447,-2692784.454735338,-4297242.132416851,3855235.343597219,-2692779.8744424605,-4297235.468285525,3855229.67430598
1593045454447,-2692784.437259091,-4297242.251091458,3855235.1852966375,-2692779.878665315,-4297235.471906021,3855229.669395506
1593045455447,-2692784.0942853196,-4297242.402891509,3855235.4003974227,-2692779.861166086,-4297235.4625071725,3855229.6894268026
1593045456447,-2692783.6608567974,-4297242.943234957,3855235.0091905952,-2692779.8601232027,-4297235.440456695,3855229.717545776
1593045457447,-2692784.203894977,-4297242.998068494,3855234.445601634,-2692779.8711326313,-4297235.458783646,3855229.686228781
1593045458447,-2692784.5360712027,-4297242.5148079675,3855234.7126453198,-2692779.8769203117,-4297235.468030896,3855229.6566089243
1593045459447,-2692784.959536418,-4297242.414851579,3855234.4377146377,-2692779.8919293657,-4297235.481391572,3855229.645352996
1593045460447,-2692785.3824025346,-4297242.186440512,3855234.3933447106,-2692779.9027344366,-4297235.503258371,3855229.6089151953
1593045461447,-2692785.09969076,-4297241.77889052,3855235.071312517,-2692779.900813917,-4297235.505204363,3855229.628730753
1593045462447,-2692785.1891091415,-4297241.336311354,3855235.6431532535,-2692779.8992603864,-4297235.510999127,3855229.6045428645
1593045463447,-2692785.366520207,-4297241.363324121,3855235.482618134,-2692779.91271466,-4297235.507460061,3855229.613096178
1593045464447,-2692785.61369048,-4297241.376463123,3855235.1691598394,-2692779.9105378403,-4297235.5090910625,3855229.590007847
1593045465447,-2692785.75335278,-4297241.401604689,3855235.0162036433,-2692779.9242079356,-4297235.528842712,3855229.6096892124
1593045466447,-2692785.572095083,-4297241.846184453,3855234.797328399,-2692779.9058056963,-4297235.518286333,3855229.601906773
1593045467447,-2692785.2914291625,-4297241.938959729,3855234.790850674,-2692779.90356143,-4297235.508947381,3855229.6202594466
1593045468447,-2692785.5334414057,-4297241.429149953,3855235.052289225,-2692779.915606768,-4297235.514232371,3855229.593482762
1593045469447,-2692785.5653021084,-4297241.570944124,3855234.9295974267,-2692779.9195595696,-4297235.513964377,3855229.60055134
1593045470447,-2692785.489789206,-4297241.576744941,3855235.002121697,-2692779.9061590033,-4297235.51564234,3855229.6107015936
1593045471447,-2692785.552036322,-4297241.387329861,3855235.1602491676,-2692779.9160874533,-4297235.519147499,3855229.606122229
1593045472447,-2692785.4712491827,-4297241.86814698,3855234.8970563286,-2692779.9061093726,-4297235.516403805,3855229.6034904746
1593045473447,-2692785.587263596,-4297241.582397912,3855234.778891988,-2692779.9242609916,-4297235.508978726,3855229.590811576
1593045474447,-2692785.5994678936,-4297241.658729069,3855234.958997511,-2692779.904983396,-4297235.520768144,3855229.608958665
1593045475447,-2692785.6082065874,-4297241.799755432,3855234.6932645403,-2692779.911532945,-4297235.515147903,3855229.6116809896
1593045476447,-2692785.5651977477,-4297241.757118374,3855234.6731529087,-2692779.914815788,-4297235.516316178,3855229.600707155
1593045477447,-2692785.684966314,-4297242.046890206,3855234.2094880794,-2692779.9173506554,-4297235.519196517,3855229.600095105
1593045478447,-2692785.3529177103,-4297243.054539433,3855233.594556234,-2692779.89704977,-4297235.503400742,3855229.636852163
1593045479447,-2692784.762789318,-4297242.275712113,3855234.0497898874,-2692779.909245667,-4297235.459193832,3855229.6354277027
1593045480447,-2692785.0159270503,-4297243.288551995,3855234.119847159,-2692779.860271605,-4297235.491017474,3855229.6856082263
1593045481447,-2692784.7499351976,-4297242.090414933,3855234.883576316,-2692779.880601517,-4297235.479696155,3855229.643318517
